Code	AIMB	BBOO	BPOD	CLUC	CCHR	CCON	CJUL	DANN	DDEN	DLAB	DPUN	DSAR	DVOL	DVUL	EALL	ECOS	EMAR	GCRU	LBIM	LMER	LVIR	LMOR	LPIS	MAQU	MHIS	MHEL	MSUR	MUGI	OMEL	OVUL	PACA	PELE	PERY	PINC	PPAG	PPHY	PMAX	RAJA	SAUR	SAURI	SCAB	SCAN	SCANI	SCIN	SDUM	SMAE	SMED	SMEL	SNOT	SOCE	SOFF	SOL	SPIL	SPOR	SRHO	SROI	SROS	SSAL	SSAR	SSAU	SSCRI	SSCRO	SSPH	SSTE	STIN	SUMB	TDRA	TMAR	TPAV	TRIG	TTRA	USCA	ZFAB
nTsu	0	0	0	0	0	0	0	8.127777778	47.5	0	25.85	106.5861111	0	85.40555556	0	0	0	0	0	1032.55	0	7.686111111	0	0	0	0	14.35277778	0	0	0.083333333	0	0	0	0	7.869444444	0	0	0.694444444	0	0	0	0	0	0	0	1.152777778	0	0.344444444	0.269444444	0	0.255555556	0	0	289.0777778	0	0.941666667	0.166666667	173.0527778	0	0	25.17777778	42.72777778	14.84444444	0	167.3527778	313.4666667	0	0	0	0	0	0	0
nTwi	0	0	0	0	0.308333333	90.55555556	0	12.85555556	242.6416667	12.49166667	13.70277778	36.59722222	0	103.6027778	0	0	0	0	0	793.5555556	0	0	0	0	0	190.525	177.5194444	0	64.63888889	73.15	0	0	0	0	0	0	0	0	12.91111111	0	0	2.144444444	0	0	20.14166667	0	1.766666667	0	0	0	278.9388889	0	0	726.7527778	0	0	0	0	0	0	18.09722222	79.96111111	16.43055556	0	421.6833333	691.8944444	0	10.92777778	0	0	0	0	0
nTsp	0	0	0	0	0	0	0	0.969444444	92.09444444	0	2.094444444	102.05	0	8.475	37.08888889	0	0	0	0	693.5138889	0	0	0	0	0	42.23611111	47.01666667	0	0	0	0	0	0	0	0	0	0	0	60.85833333	0	0	1.269444444	0	2.075	0	0	0	0	0.380555556	0	251.7444444	0	0	376.3361111	0	0	0	0	11.08055556	0	2.705555556	32.47777778	0	0	256.3277778	127.65	0	12.08611111	0	0	15.64722222	0	0
nCsu	0	0	0	0	0	383.6111111	0	49.63888889	0	0	0	20.05555556	0	0	0	0	0	0	10.55555556	149.2777778	56.83333333	5.555555556	0	0	0.222222222	50.27777778	0	0	0	250.1388889	16.22222222	0	0	0	0	31.77777778	25	0	0	0	0	11.88888889	37.86111111	0	0	8.333333333	0.694444444	0	3.805555556	0	76.55555556	4.694444444	0	879.1666667	12.5	0	0	29.80555556	0	0.916666667	2.944444444	41.94444444	0	97.22222222	264.8333333	0	2.083333333	58.83333333	0.777777778	0	0	0	0
nCwi	0	0	0	0	0	180.5555556	0	48.66666667	0	0	8.111111111	18.52777778	0	38.13888889	0	0	0	0.777777778	0	255.2222222	104.7222222	0	0	0	0	0	47.94444444	0	0	120.6111111	0	0	12.69444444	0	0	112.5	0	0	50.52777778	0	1	9.916666667	20.47222222	0	0	0	0	0	5.638888889	0	359.3055556	0	0	153.8888889	0	0	0	15.75	0	0	0	16.72222222	0	0	252.1111111	0	0	62.08333333	0	0	0	0	0
nCsp	0	0	0	0	0	85	0	279.8888889	3.777777778	0	2.833333333	47.80555556	0	26.25	0	0	0	0	4.055555556	162.6944444	78.38888889	0	43.22222222	0	0	0	35.30555556	0	0	85.05555556	9.583333333	0	0	0	0	290.2777778	0	0	0	0	0	0	0	0	0	0	1.777777778	0	1.888888889	0	203.8055556	0	0	180.5833333	0	0	0.25	0	0	0	4.166666667	10.05555556	0	18.72222222	426.75	0	0	0	0	0	0	0	0
mTsu	0.444444444	0	0	0	0.722222222	0	0	9.911111111	51.94722222	13.57777778	14.41111111	24.00555556	0	59.66944444	0	12.08611111	0	0	0	881.4	0	0	0	0	0	54.2	16.975	0	0	0	0	0	5.294444444	0	19.19444444	0	0	0	12.91111111	0	0	0	0	0	0	0	0.755555556	0	1.111111111	0	0.288888889	0	0	232.3805556	0	0	0	131.3333333	0	0	16.63333333	25.025	0	0	213.2583333	176.9194444	0	0	0	0	0	0	0
mTwi	0.319444444	0	0	0	0.222222222	54.58611111	0	7.730555556	91.66388889	15.89444444	33.55277778	87.375	0	57.68888889	0	0	100.1444444	0	0	429.725	0	0	0	0	0	226.5222222	68.04166667	0	43.87777778	34.275	0	0	0	0	0	0	0	0	104.0694444	0	0	5.097222222	0	0	0	0	0	0	0	0	305.3305556	3.658333333	0	665.5861111	0	0	0.311111111	7.577777778	0	0	4.111111111	93.29722222	25.89722222	0	165.6833333	505.8666667	0	56.01666667	0	0	0	0	0
mTsp	0	0	0	0	0	0	0.85	3.288888889	0	0	2.094444444	40.85833333	0	71.85277778	0	0	0	0	0	627.9194444	0	0	0	0	0	180.7944444	51.09722222	0	0	20.075	0	0	0	0	4.552777778	0	0	0	0	0	0	1.269444444	0	0	0	0	0	0	0	0	204.175	0	0	314.8	0	0	0.311111111	0	0	0	0.963888889	10.85555556	0	0	225.1944444	108.3333333	0	0	0	0	7.330555556	0	0
mCsu	0	0	0	0	0	20.33333333	0	67.30555556	0	0	0	10.91666667	0	0	0	0	0	0	0	25.47222222	65.16666667	0	0	0	0	0	0	0	0	293.0555556	8.972222222	0	0	0	0	0	0	0	0	0	0	1.111111111	0	0	0	5.083333333	0	0	4.444444444	0	26.88888889	0.694444444	0	351.25	0	0	0	0	0	0	0	6.75	0	0	45.5	0	0	21.33333333	0	0	0	0	0
mCwi	0	1.694444444	0	0	0	0	0	44.77777778	0	49.44444444	0	7	0	18.16666667	0	0	0	0	0	95.75	84.19444444	0	0	0	0	0	35.88888889	0	0	107.8333333	7.027777778	0	0	0	0	16.16666667	0	0	61.16666667	0	0	0	0	0	0	0	0	0	0.944444444	0	462.0277778	2.138888889	0	137.1666667	0	0	0	0	0	0	0	0	0	0	174.2222222	0	0	39.52777778	0	0	0	10.05555556	0
mCsp	0	0	0	0	0	0	0	392.4166667	0	0	0	8	0	6.166666667	0	0	0	0	0	23.5	16.91666667	0	70.55555556	0	0	0	0	0	0	210.4166667	0	0	0	0	0	19.86111111	0	0	7.444444444	0	1.138888889	0	11.11111111	0	0	0	0.75	0	0	0	162.6388889	0	1.694444444	214.0555556	0	0	0	25.33333333	0	0	0	2.472222222	0	0	104.9166667	0	0	0	0	0	0	0	0
fTsu	0.780555556	0	1.2	0	0	14.04166667	0	2.575	16.48055556	0	31.65	111.8111111	3.458333333	43.30555556	0	14.94444444	10.80277778	0.544444444	0	697.1333333	0	0	0	162.0222222	0	23.19722222	11.62777778	46.95277778	6.016666667	0.030555556	0	0	3.422222222	4.791666667	48.04166667	0	0	0	0	0	0.969444444	0	0	0	0	0	0	0	10.40277778	0	0.475	4.672222222	0	152.0638889	0	0.4	0	74.71111111	0	1.122222222	12.58611111	26.65833333	0	0	288.9777778	230.7583333	0	0	0	0	0	0	0
fTwi	0	0	1.630555556	0	0	92.48333333	0	19.575	129.7444444	327.6305556	41.69166667	85.23611111	0	131.5333333	0	0	0	0	0	352.4833333	0	0	0	0	0	285.4555556	29.125	0	52.54722222	0	8.119444444	0	0	2.433333333	13.85555556	5.472222222	0	0	49.60833333	0	0	3.808333333	6.936111111	0	27.26666667	0	0	0	0.680555556	0	309.0027778	3.658333333	0	266.8111111	0	0	0	42.21944444	0	0	0.472222222	31.35555556	9.791666667	0	214.2027778	179.0111111	0	93.18055556	0	0	0	0	10.42222222
fTsp	0	0	0	0	0	128.25	0	3.963888889	12.63333333	0	2.525	79.79722222	0	57.52777778	0	0	0	0	0	534.4472222	0	0	0	0	0	80.39444444	3.619444444	0	0	181.1833333	0	0	7.141666667	0	17.69166667	19.42777778	0	0	90.28333333	0	0	0	0	0.380555556	29.26666667	0	0	0	0	0.375	286.4916667	0	0	174.1083333	0	0.4	0.405555556	0	0	0	7.602777778	16.69444444	0	0	929.8305556	103.3583333	0	0	0	0	9.619444444	0	0
