"T.image" "T.review" "T.desc" "T.load" "Res"
"1" 5.1 3.5 1.4 0.2 "Compra"
"2" 4.9 3 1.4 0.2 "Compra"
"3" 4.7 3.2 1.3 0.2 "Compra"
"4" 4.6 3.1 1.5 0.2 "Compra"
"5" 5 3.6 1.4 0.2 "Compra"
"6" 5.4 3.9 1.7 0.4 "Compra"
"7" 4.6 3.4 1.4 0.3 "Compra"
"8" 5 3.4 1.5 0.2 "Compra"
"9" 4.4 2.9 1.4 0.2 "Compra"
"10" 4.9 3.1 1.5 0.1 "Compra"
"11" 5.4 3.7 1.5 0.2 "Compra"
"12" 4.8 3.4 1.6 0.2 "Compra"
"13" 4.8 3 1.4 0.1 "Compra"
"14" 4.3 3 1.1 0.1 "Compra"
"15" 5.8 4 1.2 0.2 "Compra"
"16" 5.7 4.4 1.5 0.4 "Compra"
"17" 5.4 3.9 1.3 0.4 "Compra"
"18" 5.1 3.5 1.4 0.3 "Compra"
"19" 5.7 3.8 1.7 0.3 "Compra"
"20" 5.1 3.8 1.5 0.3 "Compra"
"21" 5.4 3.4 1.7 0.2 "Compra"
"22" 5.1 3.7 1.5 0.4 "Compra"
"23" 4.6 3.6 1 0.2 "Compra"
"24" 5.1 3.3 1.7 0.5 "Compra"
"25" 4.8 3.4 1.9 0.2 "Compra"
"26" 5 3 1.6 0.2 "Compra"
"27" 5 3.4 1.6 0.4 "Compra"
"28" 5.2 3.5 1.5 0.2 "Compra"
"29" 5.2 3.4 1.4 0.2 "Compra"
"30" 4.7 3.2 1.6 0.2 "Compra"
"31" 4.8 3.1 1.6 0.2 "Compra"
"32" 5.4 3.4 1.5 0.4 "Compra"
"33" 5.2 4.1 1.5 0.1 "Compra"
"34" 5.5 4.2 1.4 0.2 "Compra"
"35" 4.9 3.1 1.5 0.2 "Compra"
"36" 5 3.2 1.2 0.2 "Compra"
"37" 5.5 3.5 1.3 0.2 "Compra"
"38" 4.9 3.6 1.4 0.1 "Compra"
"39" 4.4 3 1.3 0.2 "Compra"
"40" 5.1 3.4 1.5 0.2 "Compra"
"41" 5 3.5 1.3 0.3 "Compra"
